Condition,Frequencies (Hz)
"Staphylococci Infection, Food Poisoning, Salmonella Paratyphi B, Staphylococci and Streptococcus",643
"Borrelia, Borrelia Spirochete B, Tinea Cruris, Borreliosis, Amyotrophic Lateral Sclerosis,Nerve,",644
"Bartonella Henselae,Lymph, Ear General Conditions,Ear, Human T Lymphocyte Virus, Influenza",645
"Dental Infection and Earache, T Lymph Virus, Dental Foci, Human T Lymphocyte Virus,",646
"Kaposi's Sarcoma, Staphylococcus Pyogenes Aureus, Staphylococcus Aureus, Carbuncles,Skin,",647
"Pancreas,Pancreas, Pancreas Balance, Pancreas, Herpes Simplex i, Motion Sickness, Motion",648
"Influenza With Respiratory, Jaundice, Bilirubinemia, Bilirubin,Liver, Chronic Fatigue V",649
"Tarlov Cysts, Latex Hypersensitivity, Bone Disease and Periodontal, Pelvic Inflammatory",650
"Parasites Intestinal Flukes,Intestines, Parasites General, Goiter Struma Nodosa, Goiter ,Neck,",651
"Haemophilus Influenzae B, Influenza Haemophilus Type B, Borreliosis, Ear General Conditions,Ear,",652
"Influenza V2 Grippe, Influenza With Respiratory, Leukocytosis, Leukose, Coxsackie B3",653
"Pancreas Function Stimulate Normal, Cat Virus, Enterovirus, Bartonella Henselae,Lymph, Mammary",654
"Cancer Cervical, Herpes Simplex RTI",655
"Influenza Asian Grippe A, Asian Grippe A,Lung, Cold Sores, Coeliakia, Carcinoma Colon, Herpes",656
"Herpes Simplex i, Nerve Healing, Coxsackie B6, Stimulate Repair Nerve Damage, Electrical",657
"Herpes Simplex i, Treponema Pallidum, Chancre, Luesinum and Syphilinum,Syphilis, Syphilis,",658
"Rhizopus Nigricans,Respiratory, Felon",659
"Heart Function Normalize, Intercostal Neuralgia, General Comprehensive, Edema, Parasites",660
"Candida Organ Support, Cancer Maintenance, Fibro Pendulum, Mannan, Candida",661
"Echinococcus Granulosus, Pineal Gland Balance, Pineal Function Stimulate Normalize, Influenza",662
"Influenza Virus 1993/1994 Secondary, Cancer Basic, Cancer Experimental Additional, Cancer",663
"Fatigue General, Tuberculinum, Chicken Pox,Skin, Crohn's and Other Bowel Problems,Intestines,",664
"Pemphigus,Skin, Morgellons Disease, Cancer Lymphogranuloma Lymphoma, Coeliakia, Parasites",665
"Cancer Pain, Polyp General, Pain General, Cancer Leukemia, Dental Infection, Pancreatic",666
"Lyme Hatchlings Eggs, Cancer Maintenance, Chronic Fatigue Syndrome, Epstein Barr Virus,",667
"Coxsackie B6, Herpes Zoster Virus, Influenza Virus 1992/1993 Secondary, Coeliakia, Botulinum,",668
"Coxsackie B6, Infectious Mononucleosis, EBV, EBV, Chronic Fatigue Syndrome, Epstein Barr Virus,",669
"Plagiocephaly Nonsynostotic, Staphylococcus Aureus Basal Cell Special, Influenza Grippe 1986 Tri",670
"Distemper, Deer Tick",671
"Borrelia Lyme B, Influenza With Respiratory, Ox Bile, Fel Tauri, Actinobacillus,Respiratory, Crohn's",672
"Lyme and Rocky Mountain Spotted Fever V, Lyme, Lyme Disease, Ehrlichia, Borrelia Lyme,",673
"Actinobacillus,Respiratory, Caeliacia, Hiatal Hernia, Influenza Virus 1992/1993 Secondary, Mumps,",674
"Streptococcus Haemolytic, Candida, Larynx Polyp, Candida Tropicalis",675
"Detox Heavy Metals, Flukes, Systemic Conditions, Fluke Intestinal, Cancer Basic, Parasites",676
"Biliary Cirrhosis, Stomatitis,Mouth, Colors, Canker Sore, Cirrhosis of the Liver, Jade Machine Color",677
"Lupus Erythematosus, Hiatal Hernia, Mycosis Fungoides, Actinobacillus,Respiratory, Staphylococci",678
Influenza Virus B,679
"Paget's Disease of Bone, Laurence-Moon Syndrome, Pulmonary Atresia, Crohn's Disease, Uterine",680
"Cytomegalovirus CMV, Herpes Type, CMV,Salivary Glands, CMV, Multiple Sclerosis V,Nerve,",682
"Botulinum, Influenza Aches and Respiratory, Chest Infection Secondary,Chest, Bronchitis,Lung,",683
"Rhesus Gravidarum, Pullularia Pullulans,Lung",684
"Vein Thrombosis, Stomatitis Aphthous ,Mouth, Varicosities, Adrenal Gland Stimulant ,Adrenals,",685
"Herpes Zoster Virus, Streptococcus and Staphylococci V, Streptococcus",686
"Pseudomonas Mallei, Glanders, Streptococcus Mutant Strain, Branhamella Moraxella",687
"Bright's Syndrome,Kidney, Fluor Alb, Lyme Disease, General Comprehensive, Nephritis, Candida",688
"Uterine Polyp, Influenza 1994, Polyp Uterine",689
"Languorous Paralysis, Claviceps Purpurea, Lyme Disease, Yersinia Pestis, Gum Infection,",690
"Streptococcus Haemolytic, Botulinum, Cholera,Intestines, Bacillus Botulinus, Botulism, Cholera,",691
"Amyotrophic Lateral Sclerosis,Nerve, Trichomonas,Vaginal",692
"Follicular Mange,Hair, Mange Follicular, Gaetner, Ehrlichia, Food Poisoning, Follicular Mange,",693
"Lung Abscess,Lung, Cyst Sebaceous, Abscess Nocardia Asteroides,Respiratory, Nocardia",694
"Hormodendrum, Heliobacter Pylori, Brucella Melitensis, Heliobacter Pylori ,Stomach, Gardnerella,",695
"Heart Function Normalize, Heart Function Stimulate Normal, Bartonella Henselae,Lymph, Heart",696
"Bordetella Pertussis, Tuberculosis Aviare,Lung, Parasites General, Influenza 1994, Bordetella",697
"Breast Inflammation, Cryptosporidium,Intestines, Tuberculosis Aviare,Lung, Parasites Strongyloides",698
"Lyme Secondary, Influenza 1994, Borrelia Lyme, Borreliosis, Borrelia Lyme Secondary, Herpes",699
"Gastrointestinal Stromal Tumors, Myoclonus, Hyperpituitarism, Eye Infections, Keratitis, Lactose",700
"Mange, Follicular Mange,Hair, Herpes Type C, Parasites Follicular Mange,Hair Skin",701
"Canker Sore, Influenza 1994 Secondary, Stomatitis,Mouth, Lupus Erythematosus, Lupus Systemic",702
Influenza 1989,703
"Heliobacter Pylori, Cancer Stomach, Neurospora Sitophila, Fusarium Oxysporum,Eyes, Heliobacter",705
"Yeast Cervical, Myocarditis Necrose, Myocardial Necrosis, Forgiveness",706
"Eczema ,Skin, Eczema,Skin, Dermatitis, Salmonella Comp, Salmonella Paratyphi B, Food",707
Coxsackie B5,708
"Lipoma, Candida Tropicalis, Mycobacterium Leprae, Mycogone Fungoides, Candida",709
"Madura Foot, Elephantiasis, Streptococcus Haemolytic, Gastrointestinal Hemorrhage, Crocus",710
"Trichoderma, Salmonella Comp, Smallpox, Salmonella Paratyphi B, Ovarian Cyst,Ovary, Food",711
"Cancer Basic, Leukoencephalitis, General Comprehensive, Gonorrhea,Viral, Leukoencephalitis",712
"Influenza Virus 1992/1993 Secondary, Malaria, Mucor Racemosus Secondary, Leukoencephalitis",713
"HIV, Endocarditis, T Lymph Virus, HIV, Liver Necrosis, Human T Lymphocyte Virus, Goiter Struma",714
"Influenza Virus 1992/1993 Secondary, Leukoencephalitis, Biliary Cirrhosis, Sporotrichum",715
"Varicella, Bartonella Henselae,Lymph, Cancer Lymphogranuloma Lymphoma, Herpes Zoster Virus,",716
"Herpes Type 2A Secondary, Bilirubinemia, Cancer Lymphogranuloma Lymphoma, Herpes General,",717
"Herpes Zoster Virus, Cancer Lymphogranuloma Lymphoma, Streptococcus and Staphylococci V,",718
"Lung Abscess, Cyst Sebaceous, Salmonella Comp, Nocardia Asteroides,Lung, Salmonella",719
"Prosthodontics, Rhodococcus, Disseminated Intravascular Coagulation, Tumor Brain, Dizziness,",720
"ALS ,Nerve, Lamblia, Enterovirus, Parasites Threadworm,Intestines, Roundworm, Parasites",721
"Conjunctivitis Bacillus Subtilis, Echovirus Meningitis, Conjunctivitis,Eyes, Echo Virus, Meningitis",722
"Legionella,Lung, Household Insect Mix, Legionellosis, Dental Infections Virus, Legionella, Dental",723
"Listeriose, Osteitis ,Bone, Brown Recluse Spider, Trichophyton Nagel, Bladder TBC,Bladder,",724
"Cold, Autism, HIV, Measles Vaccine, Trichophyton Nagel, T Lymph Virus, Trichophyton General,",725
"Trench Mouth,Mouth, Gum Infection, Jaundice, Bilirubin,Liver, Gum Disease, Rickettsia, Gum",726
"Cramping and Nausea, Mammary Tumor, Cataract, Bedsores, Edema, Cramps General,",727
"Cancer Carcinoma, Cancer Sarcoma, Multiple Sclerosis Secondary,Nerve, Cancer Stomach,",728
"Mumps Secondary,Mouth, Mucor Racemosus Secondary, Mycogone Fungoides, Tuberculosis",729
"Mumps Vaccine, Influenza With Respiratory, Salivary Gland Diseases, Carcinoid Tumor, Parasites",730
"Mammary Tumor Benign, Cancer Lymphogranuloma Lymphoma, Tuberculosis Aviare,Lung,",731
"Cancer Breast, HIV, Cancer Basic, Influenza With Respiratory, T Lymph Virus, General Demo,",732
"Yellow Fever, Black Vomit, Parkinson's V, Herpes General, Enterobius Vermicularis, Cancer",733
"Measles Rubella, Yellow Fever, Cancer Liver Carcinoma, Herpes Simplex i, Bilirubin,Liver, German",734
"Mucor Mucedo, Lyme Disease, Streptococcus Pyogenes, Erysipelas, German Measles,",735
"Staphylococcus General, Osteitis ,Bone, Inflammation Bone, Lyme Disease, Coxsackie B6, Borrelia",736
"Geotrichum Candidum, Hot Tub Folliculitis, Deer Tick, Tuberculinum, Carpal Tunnel Syndrome,",737
"Hiatal Hernia, Epstein Barr Virus, Dematium Nigrum, Tumor Staphylococcus Aureus, Carbuncles,",738
"Multiple Sclerosis V,Nerve, Pullularia Pullulans,Lung, Influenza 1993 Secondary, ALS ,Nerve",739
"Dengue Fever, Hypothyroid, Influenza Virus B, Tuberculosis General,Lung, Influenza Virus",740
"Tuberculosis Aviare,Lung, ALS ,Nerve, Solfeggio Frequencies, Influenza 1993 Secondary, Intuition",741
"Candida Organ Support, Polio, Influenza Virus 1992/1993 Secondary, Parkinson's V, Enterovirus,",742
"Aspergillus Terreus,Lung, Glanders, Glanders, Hot Tub Folliculitis, Osteitis ,Bone, Farcy, Dystonia",743
"Cervical Polyp,Womb, Influenza Virus B, Epstein Barr Virus Secondary, Cancer Nasopharyngeal,",744
"Staphylococcus Aureus, Hiatal Hernia, Mold and Fungus General, Mold, Autism, Fungus and Mold,",745
"Eye Fusarium General, Parasites Strongyloides Secondary, Cold, Influenza With Respiratory,",746
"Cyst Sebaceous, Nocardia Asteroides,Lung, Actinomycosis, Actinomyces Israelii, Lung Abscess,",747
"Brucella Melitensis, Tuberculinum, Brucella Melitensis, Cancer Prostate, Trichophyton Nagel,",748
"Lyme Disease, Histoplasmosis, Histoplasma,Lung, Parasites General Alternative V, Parasites",749
"Attention Deficit Disorder with Hyperactivity, Measles, Blastocystis Hominis Infections,",750
"Detox Heavy Metals, Infections General Tertiary, Detox and Lymphs, Cold, Felon,",751
"Parasites Strongyloides Secondary, Hepatitis B, Ovum, Salmonella Comp, Parasites General,",752
"Babesia,Blood, Protozoa, Influenza With Fever Virus, Babesia Lyme, Babesiosis, Parasites",753
"Salmonella Comp, Salmonella Typhimurium, Streptococcus Mutant Strain, Food Poisoning",754
"Canine Parvovirus Type B, Canine Parvo B, Pinguecula, Sporotrichum Pruinosum",755
"Influenza Virus 1993/1994 Secondary, Ureaplasma, Bronchial Asthma, Struma, Goiter ,Neck,",756
"Fluor Alb, Autism, Mycogone Fungoides, Tuberculosis Bovine,Lung, Measles, Influenza Virus",757
"Aspergillus Glaucus,Brain, Influenza Virus 1991/1992, Borrelia Lyme, Borreliosis,Joints, Borrelia",758
"Mumps Secondary,Mouth",759
"Kidney Papilloma,Kidney, General Comprehensive, Acne ,Skin, Carpal Tunnel Syndrome, Leprosy",760
"Mumps Secondary,Mouth, Canine Parvovirus Type B, Influenza Virus 1991/1992 Secondary,",761
"Salmonella Typhimurium, Candida Organ Support, Myositis,Muscle, Tumor Benign Papilloma Virus,",762
"Parasites General Flukes,Pancreas Liver Intestines, Parasites Liver Flukes,Liver, Autism, Thyroid",763
"Meningitis,Brain, Mycogone Fungoides, Stimulate Repair Nerve Damage, Meningitis, Emotional",764
"Penicillium Chrysogenum Secondary, Pertussis, Bordetella Parapertussis, Trichophyton Nagel,",765
"Frozen Shoulder, Epidermophyton Floccosum,Skin, Epidermophyton Floccosum, Epidermophyton",766
"Warts Verruca,Skin, Human Papillomavirus HPV, Papillomavirus Cyst, Lymph, Papillomavirus,",767
"Fat Burn, Adenovirus, Detox Anesthesia, Endocarditis, Cystic Fibrosis, Adenovirus,Lungs Stomach",768
"Herpes Simplex RTI, Attention Deficit Disorder, Shigella, Coxsackie General, Ulcer",769
"Pneumonia General,Lung, Diabetic Ketoacidosis, Diabetic Neuropathies, Eczema ,Skin, Parasites",770
"Cancer Bladder TBC, Gulf War Syndrome, Bladder TBC,Bladder, Calcium Metabolism Improve,",771
"Roundworm, Parasites Roundworm General,Intestines, German Measles, Kay Harris, Pneumonia",772
"Food Poisoning, Enterobiasis, Salmonella Comp, Influenza Virus 1993/1994 Secondary, FIV,Cats,",773
"Mold and Fungus General, Listeriose, Biliary Cirrhosis, Cirrhosis of the Liver, Glanders, Dental",774
"Botulinum, Baker's Yeast, Rheuma, Rhizopus Nigricans,Respiratory, Cystic Fibrosis, Baker's Yeast",775
"Psoriasis Ankylosing Spondylitis,Spine Pelvis, Epstein Barr Virus, Lupus Erythematosus,",776
"Emphysema, ALS ,Nerve, Streptococcus Viridans, Trichophyton Nagel, Actinobacillus,Respiratory,",777
"Hemophilia Tonic, Lymphoma Non Hodgkins, Chronic Fatigue Syndrome, Epstein Barr Virus,",778
"Cancer Liver Carcinoma, Black Vomit, Yellow Fever, Cancer Basic, Hepatitis B, Pneumonia",779
"Cholesterinum, Intestinal Diseases, Paraphilias, Adenoids,Nose, Thromboangiitis Obliterans,",780
"Influenza Grippe 1988, Cancer Multiple Myeloma, Schuman B Cell, Hepatitis General 1 Virus,",781
"Asthma V,Lung, Gardnerella, Gardnerella, Meniere's Disease,Ear, Bronchial Asthma, Crohn's and",782
"Leukoencephalitis Secondary, Leukoencephalitis, Pneumonia Klebsiella,Lung, Measles Vaccine,",783
"Cancer Basic, Fungus and Mold, Cancer Pancreatic, Ulcers General,Stomach, Otitis Medinum,Ear,",784
"Borrelia Lyme, Borreliosis, Mammary Tumor Benign, Herpes Simplex I, Breast Tumors Benign,",785
"Greatest Hits, Streptococcus and Staphylococci V, Hiatal Hernia, Lyme Disease, Adenovirus,",786
"Erysipelas, Cancer Basic A, Clean Blood Plasma, Gum Disease,Gums, Phaqocyross Stimulation,",787
"Canker Sore, Infectious Mononucleosis, Echovirus Meningitis, Chronic Fatigue Syndrome,",788
"Luesinum and Syphilinum, Chancre, Back Spasms, Myocardial Necrosis, Lyme Disease,",789
"Cervical Inflammation, Amyotrophic Lateral Sclerosis,Nerve, Amyotrophic Lateral Sclerosis,Nerve,",790
"Intestinal Inflammation, Intestines Inflammation,Intestines, Intestines Inflammation, Parasites",791
"Cryptococcus Neoformans,Lung, Cancer Basic",792
"Lyssinum, Rabies,Viral, Lyssavirus, Helminthosporium, Lyme Disease, Eggs of Worms, Parasites",793
"Condylomata Basic Set, Trichophyton Nagel",794
"Borrelia Lyme, Lyme, Fusarium Oxysporum,Eyes, Borrelia Lyme",795
"German Measles Rubella, German Measles Rubella,Skin, Measles Rubella, Lyme Disease, German",796
"Borreliosis, Rocky Mountain Spotted Fever and Lyme V, Verruca,Skin, Lyme and Rocky Mountain",797
"Influenza Virus 1993/1994 Secondary, Lupus General,Skin, E Coli, E Coli Escherichia Coli,",798
"Escherichia Coli, Tuberculosis Rod E Coli Infections,Lung, Dirofilaria Immitis,Lung, Escherichia",799
"Otitis,Ear, Indigestion, Flu Virus, Cherubism, Hyperosmia, Eye Hemorrhage, Fever, Lupus",800
"Pneumococcus Mixed Flora, Cholecystitis Chronic,Gallbladder, Gallbladder",801
"Infections, Knee Joint Pain,Knee, Schizophrenia Paranoid ,Mental, Lyme Disease, Arthritis General,",802
"Hyperglycemia, High Blood Sugar, Cyst Hydatid,Intestines, Parasites Taenia,Intestines, Taenia,",803
"Escherichia Coli, Angina Throat,Throat, E Coli, Detox Antiseptic Effect, General Antiseptic,",804
Trichophyton Nagel,805
Oat Smut,806
"Coordination Difficulties, Locomotor Dysfunction Incoordination, Cancer Cervical, Herpes Simplex",807
"Trichophyton General, Lyssavirus, Herpes Type 2 Comp, Meniere's Disease,Ear, Cancer Breast,",808
"Trichophyton Nagel, Erythema,Face, Fifth Disease, Erythema Infectiosum, Erythema",809
"Bronchial Asthma,Lung, Bronchial Asthma, Borreliosis, Crohn's Disease, Adenoids,Nose, Pain",810
"Trichophyton, Giardia Parasites, Parasites Giardia,Intestines, Candida, Nagel Trichophyton,",812
"Parkinson's V, Coordination Difficulties, Morbus Parkinson,Brain, Parkinson's Disease,Nerve,",813
"Influenza 1978, Ataxia General,Nerve, Coxsackie B6, Coxsackie B6, Respiratory Failure Acute",814
"Phoma Destructiva, Colors, Jade Machine Color Code Red",815
Trichophyton Nagel,817
"Pneumonia Klebsiella,Lung, Klebsiella Pneumoniae, Klebsiella Pneumoniae,Mouth Skin Intestines",818
"Dupuytren's Contracture, Sinusitis, Rheumatica, Rhinopneumonitis,Respiratory, Croup, Pulmonary",820
"Cancer Leukemia, Myeloid Leukemia, ALS ,Nerve, Cancer Multiple Myeloma, Conjunctivitis Bacillus",822
"Tularemia, Influenza Bach Poly, Influenza Bach Poly Flu, Influenza Bach Poly, Francisella",823
"Staphylococcus Aureus, Elephantiasis,Skin, Fungus EW Range, Salmonella Typhi, Carbuncles,",824
"Epstein Barr Virus, Chronic Fatigue Syndrome, Cancer Nasopharyngeal, Mononucleosis, Infectious",825
"Cancer Cervical, Herpes Simplex RTI, West Nile, Anal Itching,Anus, Fungus EW Range, Parasites",826
"Amoeba General, Parasites Roundworm General,Intestines, Amoeba, Mycobacterium Avium,Lung,",827
"Lyme Disease, Mycobacterium Avium,Lung, Borrelia Lyme A, Fungus EW Range",828
"Irritable Bowel Syndrome,Bowel, Giardia Parasites, Parasites General Alternative V, Fungus EW",829
"Autonomic Nervous System Diseases, Ectodermal Dysplasia, Chalazion, Cancer Prostate,",830
"Bacillus Botulinus, Stomatitis Aphthous ,Mouth, Botulism, Microsporum Audouini,Skin, Botulinum",831
"Diabetic Toe Ulcer, Meningitis Tertiary, Tonsillitis,Tonsils, Constipation,Colon, Infections General",832
"Neuralgia,Nerve, Neuralgia, Chicken Pox, Cancer Lymphatic, Rhodotorula, Lymph Leukemia,",833
"Iatrogenic Infections, Parasites Sheep Liver Flukes,Liver, Coxsackie Type B1, Coxsackie",834
"Enterobius Vermicularis, Parasites Roundworm General,Intestines, Anal Itching,Anus, Immune",835
Influenza Va2 Grippe,836
"Gulf War Syndrome, T Lymph Virus, Human T Lymphocyte Virus",837
"Tuberculosis Bovine,Lung, Pneumonia General V,Lung",838
"Swine Flu, Influenza Virus Swine, Influenza Swine",839
"Escherichia Coli, Borrelia Hatchlings and Eggs, Cat Virus, Klebsiella Pneumoniae,Mouth Skin",840
"Multiple Sclerosis V,Nerve, Candida Albicans, Candida Albicans, Cat Virus, Encephalitis,Brain,",841
"Cat Scratch Fever, Hepatitis General, Bartonella Henselae,Lymph, Lupus Erythematosus, Hepatitis",842
"Cholera,Intestines, Baker's Yeast Allergy, Parasites Tapeworms,Intestines, Herpes Simplex,",843
"Parasites Intestinal Flukes,Intestines, Human T Lymphocyte Virus, Cholera, Cholera,Intestines,",844
"Erysipelas, Vaginosis,Vaginal, Cat Virus, Hemophilia, Erysipelas, Hemophilia, Hemophilia Tonic,",845
"Rickettsia Rickettsii, Herpes Type 2A Secondary, Breakbone Fever, Streptococcus Pneumoniae,",846
"Lupus General Secondary, Lyme Disease, Radiation Remove All, Parasites Schistosoma",847
"Streptococcus Infection General, Cat Virus, Kidney Papilloma,Kidney, Parasites Intestinal",848
"Flu 1978, Cat Virus",849
"Heat Stress Disorders, Neural Tube Defects, Lacrimal Apparatus Diseases, Exfoliation Syndrome,",850
"Cancer Bronchial, Cancer Mycosis Fungoides, Cancer BX Carcinoma Virus, Carcinoma, Cancer",852
"Brain Tumor, Brain Tumor, Dro Glioma, Bacillinum,Respiratory, Cancer Dro Glioma, Alternaria",853
"Cancer, Kidney Stimulation, Echinococcus Granulosus, Multiple Sclerosis Secondary,Nerve, Taenia,",854
"Gliocladium, Brain Fungus, Tumor Brain, Brain Tumor, Gliocladium, Cancer Glioblastoma,Brain",855
"Carcinoma, Cancer BX Carcinoma Virus, General Cleanser, Lyme Disease, Escherichia Coli",856
"Cancer Astrocytoma,Brain, Tumor Brain, Astrocytoma,Brain, Brain Tumor, Glanders, Cancer",857
"Jade Machine Color Code Sienna, Colors",858
"Ornithosis,Parrots, Parrot Fever, Psittacosis",859
"Yeast General V, Grippe Virus, Influenza V Grippe",861
"Rickettsia Rickettsii, Ehrlichia, Influenza Grippe General, ALS ,Nerve, Multiple Sclerosis V,Nerve,",862
"Borrelia Lyme A, Jaundice, Yeast General V, Bilirubin, Influenza Virus A Port Chalmers, Bilirubin,",863
"Borrelia Lyme Tertiary, Amyotrophic Lateral Sclerosis,Nerve, Yeast General V, Borrelia Burgdorferi",864
"Elephantiasis, Chemical Spray-Related Illness, Chemtrail Detox, Yeast General V,",865
"Alzheimers, Crohn's and Other Bowel Problems,Intestines, Candida, Cancer General Set,",866
"Coxsackie B2, Liver Necrosis, Cervical Polyp,Womb, Blood Flukes, Chaetomium Globosum,",867
"Penicillium Chrysogenum Secondary, Influenza 1994 Secondary, ALS ,Nerve, Coxsackie B3,",868
"Cancer Carcinoma Liver, Cancer Liver Carcinoma, Influenza 1994 Secondary, Typhoid Fever,",869
"Situs Inversus, Psychotic Disorders, Pulmonary Cancer, Reconstructive Surgical Procedures,",870
"Parkinson's V, Mucor Racemosus Secondary, Asthma V,Lung, Bronchial Asthma, Yeast General V",871
"Cryptococcus Neoformans,Lung, Pyrogenium 62, Torulopsis",872
"Pullularia Pullulans,Lung, Mucor Racemosus Secondary, Yeast General V",873
"Tumor Benign Papilloma Virus, Influenza Grippe 1989, Condylomata Basic Set, Papillomavirus,",874
"Glanders, Hiatal Hernia, Dental Infection, Influenza, Hot Tub Folliculitis, Farcy, Sore Throat,",875
"Cancer Carcinoma Liver, Hepatitis General 1 Virus, Cancer Liver Carcinoma, Variola, Mucor",876
"Candida Organ Support, Tuberculosis Bovine,Lung, Hiatal Hernia, Pneumonia General V,Lung,",877
"Herpes Progenitalis, Cancer Neuroblastoma,Nerve, Neurospora Sitophila, Mucor Racemosus",878
"Streptococcus Infection General, Curvularia Spirafera, Hiatal Hernia",879
"Detox Autointoxication, Actinomycosis,Mouth, Glands Enlarged, Hip Pain, Cancer",880
"Streptococcus Infection General, Hiatal Hernia",881
"Hiatal Hernia, General Cleanser, Lyme Disease, Fungus Flora, Streptococcus Infection General",882
"Cancer Cervical, Herpes Simplex RTI, Streptococcus Mutant Strain, Streptococcus Infection",883
"Ehrlichia, Brown Recluse Spider, Borreliosis, Streptococcus Infection General, Borreliosis,",884
"Influenza Virus 1993/1994, Borrelia Lyme Secondary, Lyme Disease, Actinobacillus,Respiratory,",885
"Asthma V,Lung, Trichophyton Nagel, Candida, Fungus and Mold, Mold and Fungus General,",886
"Actinobacillus,Respiratory, Lung Abscess,Lung, Mucor Racemosus Secondary, Nocardia",887
"Stomatitis Aphthous ,Mouth, Herpes Type 2A Secondary, Morgellons General, Herpes Type 2",888
Influenza With Fever Virus,889
"Diabetes Mellitus, Fatal Familial Insomnia, Diabetes Mellitus Type, Diabetes Gestational, Infertility,",890
"Cryptosporidium,Intestines, Pemphigus, Pemphigus,Skin",893
"Herpes Simplex I, Cold Sores, Cryptosporidium,Intestines, Influenza Virus 1993/1994",895
"Legionellosis, Legionella,Lung, Legionella Pneumophila",897
Herpes Progenitalis,898
"Parasites Helminthosporium, Bladder Exstrophy, Ostomy, Parasites Besnoitia Lung Sect,",900
"Leukemia, Cancer Leukemia, Carcinoma, Cancer Basic, Feline Cat Leukemia, Feline Cat Leukemia,",901
"Treponema Pallidum, Bacillus Thuringiensis, Herpes Simplex RTI, Cancer Cervical",902
"Bordetella Parapertussis, Yeast General V, Bordetella Pertussis, Whooping Cough",906
"Tumor Benign Papilloma Virus, Warts Papilloma Type Branch Or Stalk,Skin, Cancer Cervical,",907
Yeast General V,908
"Ochoa Syndrome, Cough, Robinow Syndrome, Nevus, Embryopathies",910
"Uremia,Kidney, Detox Uremic Poison",911
"Liver, Lyme Disease, General Cleanser, Runny Nose (Rhinitis)",912
"Pasteurella Combination, Francisella Tularensis",913
"Chicken Pox, Chicken Pox,Skin, Herpes Zoster, Shingles,Viral, Varicella, Chicken Pox",914
"Influenza 1993 Secondary, Warts General,Skin, Warts Plantar,Skin",915
"FIV, Eczema ,Skin, Dermatitis, Eczema ,Skin, FIV, FIV,Cats, Feline Cat Immunodeficiency Virus FIV,",916
"Kidney Papilloma, Kidney, Papillomavirus Cyst, Tumor Benign Papilloma Virus, Kidney",917
"Warts Plantar,Skin, Cancer Leukemia, Leukemia, Cancer Feline Cat, Feline Cat Leukemia, Ehrlichia",918
"Lyme, Pulmonary Embolism, Prognathism, Prostate Enlarged, HSAN Type V, Pulmonary Alveolar",920
"Lupus, Lupus General Secondary, Bacillinum,Respiratory, Cancer Cervical, Herpes Simplex RTI,",921
"Chronic Fatigue V, Swollen Glands, Echo Virus, Enterovirus Infection Non Polio, Influenza Va2",922
"Coxsackie, Mold A and C, Coxsackie, Trichophyton Rubrum, Coxsackie General",923
"Corynebacterium Diphtheriae, Diphtheria,Respiratory, Diphtheria, Corynebacterium",925
German Measles Rubella Vaccine,926
Gonorrhea Neisseria,927
"Candida, Cholecystitis, Gallstone Attack",928
"Hepatitis C, Cancer Nasopharyngeal, Hepatitis C",929
"Reflex Sympathetic Dystrophy, Epstein Barr Virus Infections, Creutzfeldt-Jakob Syndrome,",930
"Hepatitis C, Hepatitis C",931
"Enterohepatitis, Central Spores (Bacillus Smear), Leukoencephalitis, Enterohepatitis,",932
"Fungus and Mold, Hepatitis C, Mold and Fungus General, Hepatitis C, Mold",933
"Leukoencephalitis,Brain, Diverticulitis,Intestines, Staphylococci and Streptococcus V,",934
"Herpes Type 1 Anec Comp, Streptococcus Viridans, Streptococcus and Staphylococci V",935
"ALS ,Nerve, Multiple Sclerosis V,Nerve",938
"Cancer Cervical, Chlamydia Pneumoniae, Chlamydia Pneumoniae, Herpes Simplex RTI, Distemper",940
"Penicillium Notatum, Mold and Fungus General, Mucormycosis,Mouth, Roundworm, Parasites",942
"Carbuncles, Rocky Mountain Spotted Fever, Staphylococcus Aureus, Staphylococcus General,",943
"Stomatitis Aphthous ,Mouth, Herpes Simplex I, Virus General, Cold Sores",944
"Flukes, Endometriosis ,Uterus, Detox Heavy Metals, Influenza V5 Grippe, Grippe Virus, Parasites",945
"Cat Virus, Influenza Virus 1992/1993",946
"Influenza 1993 Secondary, Parasites General, Influenza Virus 1992/1993 Secondary",947
"Pinguecula, Self-assembly of Body",948
"Mucocutaneous Lymph Node Syndrome, Herpesviridae Infections, Urethral Stricture, Lichen Planus,",950
"Bacterium Lactis Nosode, Fat Burn, Bacteria Lactis Nosode,Back",951
"Fat Burn, Rheuma, Rheumatic Fever, Rheuma Special, Sinusitis Frontalis, Eye Discharge,",952
"Enterohepatitis, Warts General,Skin, Verruca, Verruca,Skin, Grippe 1987, Influenza Grippe 1987,",953
Influenza With Fever Virus,954
"Canker, Stomatitis Aphthous ,Mouth, Canker Sore",955
Candida Albicans,956
"E Coli Escherichia Coli, Cancer Basic, Escherichia Coli, Haemobartonella Felis, Ebola Virus, Ebola",957
"Fat Burn, Hiatal Hernia, Streptococcus and Staphylococci V, Staphylococci and Streptococcus V,",958
"Influenza 1993, Influenza Haemophilus, Chronic Fatigue V, Cold and Flu Basic, Cold Or Flu Winter",959
"Jade Machine Color Code Light Green, AIDS Secondary,Immune System, AIDS Secondary,Immune",960
Mannan,961
